#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    78   0.206371E+04  -0.962947E+01   0.487997E-03  -0.962947E+01   0.438302E+00  -0.648483E-06   0.487997E-03  -0.648483E-06   0.116088E-06
    79   0.209004E+04  -0.101688E+02   0.481237E-03  -0.101688E+02   0.452973E+00  -0.610654E-06   0.481237E-03  -0.610654E-06   0.115406E-06
    80   0.211660E+04  -0.107178E+02   0.474577E-03  -0.107178E+02   0.467779E+00  -0.599657E-06   0.474577E-03  -0.599657E-06   0.114725E-06
    81   0.214341E+04  -0.112764E+02   0.468000E-03  -0.112764E+02   0.482707E+00  -0.618701E-06   0.468000E-03  -0.618701E-06   0.114045E-06
    82   0.217050E+04  -0.118442E+02   0.461513E-03  -0.118442E+02   0.497749E+00  -0.662323E-06   0.461513E-03  -0.662323E-06   0.113366E-06
    83   0.219783E+04  -0.124208E+02   0.455129E-03  -0.124208E+02   0.512893E+00  -0.722887E-06   0.455129E-03  -0.722887E-06   0.112688E-06
    84   0.222540E+04  -0.130057E+02   0.448862E-03  -0.130057E+02   0.528127E+00  -0.792757E-06   0.448862E-03  -0.792757E-06   0.112012E-06
    85   0.225322E+04  -0.135987E+02   0.442724E-03  -0.135987E+02   0.543442E+00  -0.864300E-06   0.442724E-03  -0.864300E-06   0.111338E-06
    86   0.228127E+04  -0.141993E+02   0.436727E-03  -0.141993E+02   0.558826E+00  -0.931058E-06   0.436727E-03  -0.931058E-06   0.110666E-06
    87   0.230952E+04  -0.148069E+02   0.430871E-03  -0.148069E+02   0.574266E+00  -0.991285E-06   0.430871E-03  -0.991285E-06   0.109997E-06
    88   0.233796E+04  -0.154210E+02   0.425154E-03  -0.154210E+02   0.589751E+00  -0.104441E-05   0.425154E-03  -0.104441E-05   0.109330E-06
    89   0.236660E+04  -0.160412E+02   0.419574E-03  -0.160412E+02   0.605266E+00  -0.108987E-05   0.419574E-03  -0.108987E-05   0.108666E-06
    90   0.239543E+04  -0.166672E+02   0.414130E-03  -0.166672E+02   0.620795E+00  -0.112709E-05   0.414130E-03  -0.112709E-05   0.108005E-06
    91   0.242446E+04  -0.172985E+02   0.408818E-03  -0.172985E+02   0.636325E+00  -0.115571E-05   0.408818E-03  -0.115571E-05   0.107347E-06
    92   0.245371E+04  -0.179349E+02   0.403634E-03  -0.179349E+02   0.651839E+00  -0.117620E-05   0.403634E-03  -0.117620E-05   0.106691E-06
    93   0.248317E+04  -0.185758E+02   0.398575E-03  -0.185758E+02   0.667324E+00  -0.118922E-05   0.398575E-03  -0.118922E-05   0.106039E-06
    94   0.251285E+04  -0.192210E+02   0.393636E-03  -0.192210E+02   0.682768E+00  -0.119544E-05   0.393636E-03  -0.119544E-05   0.105390E-06
    95   0.254277E+04  -0.198701E+02   0.388813E-03  -0.198701E+02   0.698155E+00  -0.119554E-05   0.388813E-03  -0.119554E-05   0.104744E-06
    96   0.257290E+04  -0.205226E+02   0.384101E-03  -0.205226E+02   0.713470E+00  -0.119018E-05   0.384101E-03  -0.119018E-05   0.104101E-06
    97   0.260326E+04  -0.211780E+02   0.379496E-03  -0.211780E+02   0.728700E+00  -0.118003E-05   0.379496E-03  -0.118003E-05   0.103461E-06
    98   0.263385E+04  -0.218359E+02   0.374993E-03  -0.218359E+02   0.743829E+00  -0.116576E-05   0.374993E-03  -0.116576E-05   0.102825E-06
    99   0.266465E+04  -0.224959E+02   0.370589E-03  -0.224959E+02   0.758842E+00  -0.114805E-05   0.370589E-03  -0.114805E-05   0.102192E-06
   100   0.269567E+04  -0.231573E+02   0.366279E-03  -0.231573E+02   0.773730E+00  -0.112755E-05   0.366279E-03  -0.112755E-05   0.101562E-06
   101   0.272691E+04  -0.238198E+02   0.362058E-03  -0.238198E+02   0.788476E+00  -0.110494E-05   0.362058E-03  -0.110494E-05   0.100936E-06
   102   0.275837E+04  -0.244829E+02   0.357922E-03  -0.244829E+02   0.803058E+00  -0.108090E-05   0.357922E-03  -0.108090E-05   0.100314E-06
   103   0.279003E+04  -0.251459E+02   0.353867E-03  -0.251459E+02   0.817478E+00  -0.105608E-05   0.353867E-03  -0.105608E-05   0.996953E-07
   104   0.282190E+04  -0.258084E+02   0.349889E-03  -0.258084E+02   0.831705E+00  -0.103117E-05   0.349889E-03  -0.103117E-05   0.990802E-07
   105   0.285396E+04  -0.264698E+02   0.345982E-03  -0.264698E+02   0.845732E+00  -0.100682E-05   0.345982E-03  -0.100682E-05   0.984688E-07
   106   0.288621E+04  -0.271296E+02   0.342144E-03  -0.271296E+02   0.859544E+00  -0.983707E-06   0.342144E-03  -0.983707E-06   0.978612E-07
   107   0.291865E+04  -0.277872E+02   0.338369E-03  -0.277872E+02   0.873135E+00  -0.962505E-06   0.338369E-03  -0.962505E-06   0.972575E-07
   108   0.295125E+04  -0.284420E+02   0.334652E-03  -0.284420E+02   0.886482E+00  -0.943880E-06   0.334652E-03  -0.943880E-06   0.966576E-07
   109   0.298402E+04  -0.290934E+02   0.330991E-03  -0.290934E+02   0.899578E+00  -0.928501E-06   0.330991E-03  -0.928501E-06   0.960617E-07
   110   0.301696E+04  -0.297410E+02   0.327380E-03  -0.297410E+02   0.912401E+00  -0.917040E-06   0.327380E-03  -0.917040E-06   0.954699E-07
   111   0.305005E+04  -0.303842E+02   0.323815E-03  -0.303842E+02   0.924943E+00  -0.909995E-06   0.323815E-03  -0.909995E-06   0.948821E-07
   112   0.308330E+04  -0.310223E+02   0.320297E-03  -0.310223E+02   0.937197E+00  -0.907190E-06   0.320297E-03  -0.907190E-06   0.942984E-07
   113   0.311669E+04  -0.316549E+02   0.316825E-03  -0.316549E+02   0.949142E+00  -0.908281E-06   0.316825E-03  -0.908281E-06   0.937188E-07
   114   0.315022E+04  -0.322813E+02   0.313400E-03  -0.322813E+02   0.960760E+00  -0.912921E-06   0.313400E-03  -0.912921E-06   0.931432E-07
   115   0.318387E+04  -0.329010E+02   0.310021E-03  -0.329010E+02   0.972053E+00  -0.920764E-06   0.310021E-03  -0.920764E-06   0.925718E-07
   116   0.321766E+04  -0.335135E+02   0.306690E-03  -0.335135E+02   0.983005E+00  -0.931466E-06   0.306690E-03  -0.931466E-06   0.920044E-07
   117   0.325156E+04  -0.341182E+02   0.303405E-03  -0.341182E+02   0.993594E+00  -0.944680E-06   0.303405E-03  -0.944680E-06   0.914411E-07
