 a		phi		phidot		fde
    0.155539E-06    0.337289E+01   -0.105948E-13    0.160744E-14
    0.156041E-06    0.337289E+01   -0.107189E-13    0.162830E-14
    0.156545E-06    0.337289E+01   -0.108441E-13    0.164943E-14
    0.157050E-06    0.337289E+01   -0.109703E-13    0.167084E-14
    0.157558E-06    0.337289E+01   -0.110977E-13    0.169253E-14
    0.158066E-06    0.337289E+01   -0.112261E-13    0.171449E-14
    0.158577E-06    0.337289E+01   -0.113556E-13    0.173675E-14
    0.159089E-06    0.337289E+01   -0.114863E-13    0.175929E-14
    0.159603E-06    0.337289E+01   -0.116181E-13    0.178212E-14
    0.160118E-06    0.337289E+01   -0.117511E-13    0.180525E-14
    0.160635E-06    0.337289E+01   -0.118852E-13    0.182868E-14
    0.161154E-06    0.337289E+01   -0.120205E-13    0.185242E-14
    0.161675E-06    0.337289E+01   -0.121570E-13    0.187646E-14
    0.162197E-06    0.337289E+01   -0.122947E-13    0.190081E-14
    0.162721E-06    0.337289E+01   -0.124336E-13    0.192548E-14
    0.163246E-06    0.337289E+01   -0.125738E-13    0.195047E-14
    0.163773E-06    0.337289E+01   -0.127152E-13    0.197579E-14
    0.164302E-06    0.337289E+01   -0.128578E-13    0.200143E-14
    0.164833E-06    0.337289E+01   -0.130017E-13    0.202741E-14
    0.165365E-06    0.337289E+01   -0.131468E-13    0.205372E-14
    0.165899E-06    0.337289E+01   -0.132933E-13    0.208038E-14
    0.166435E-06    0.337289E+01   -0.134410E-13    0.210738E-14
    0.166972E-06    0.337289E+01   -0.135901E-13    0.213473E-14
    0.167512E-06    0.337289E+01   -0.137405E-13    0.216243E-14
    0.168053E-06    0.337289E+01   -0.138923E-13    0.219050E-14
    0.168595E-06    0.337289E+01   -0.140454E-13    0.221893E-14
    0.169140E-06    0.337289E+01   -0.141998E-13    0.224773E-14
    0.169686E-06    0.337289E+01   -0.143557E-13    0.227690E-14
    0.170234E-06    0.337289E+01   -0.145130E-13    0.230645E-14
    0.170784E-06    0.337289E+01   -0.146716E-13    0.233639E-14
    0.171335E-06    0.337289E+01   -0.148317E-13    0.236671E-14
    0.171889E-06    0.337289E+01   -0.149933E-13    0.239743E-14
    0.172444E-06    0.337289E+01   -0.151563E-13    0.242854E-14
    0.173001E-06    0.337289E+01   -0.153208E-13    0.246006E-14
    0.173559E-06    0.337289E+01   -0.154868E-13    0.249199E-14
    0.174120E-06    0.337289E+01   -0.156542E-13    0.252434E-14
    0.174682E-06    0.337289E+01   -0.158232E-13    0.255710E-14
    0.175246E-06    0.337289E+01   -0.159937E-13    0.259029E-14
    0.175812E-06    0.337289E+01   -0.161658E-13    0.262390E-14
    0.176380E-06    0.337289E+01   -0.163395E-13    0.265796E-14
    0.176950E-06    0.337289E+01   -0.165147E-13    0.269246E-14
    0.177521E-06    0.337289E+01   -0.166915E-13    0.272740E-14
    0.178094E-06    0.337289E+01   -0.168699E-13    0.276280E-14
    0.178669E-06    0.337289E+01   -0.170500E-13    0.279866E-14
    0.179247E-06    0.337289E+01   -0.172317E-13    0.283498E-14
    0.179825E-06    0.337289E+01   -0.174151E-13    0.287177E-14
    0.180406E-06    0.337289E+01   -0.176001E-13    0.290905E-14
    0.180989E-06    0.337289E+01   -0.177869E-13    0.294680E-14
    0.181573E-06    0.337289E+01   -0.179753E-13    0.298505E-14
    0.182160E-06    0.337289E+01   -0.181655E-13    0.302379E-14
    0.182748E-06    0.337289E+01   -0.183575E-13    0.306303E-14
    0.183338E-06    0.337289E+01   -0.185512E-13    0.310279E-14
    0.183930E-06    0.337289E+01   -0.187467E-13    0.314306E-14
    0.184524E-06    0.337289E+01   -0.189440E-13    0.318385E-14
    0.185120E-06    0.337289E+01   -0.191431E-13    0.322517E-14
    0.185718E-06    0.337289E+01   -0.193440E-13    0.326703E-14
    0.186318E-06    0.337289E+01   -0.195469E-13    0.330943E-14
    0.186919E-06    0.337289E+01   -0.197515E-13    0.335238E-14
    0.187523E-06    0.337289E+01   -0.199581E-13    0.339589E-14
    0.188129E-06    0.337289E+01   -0.201666E-13    0.343997E-14
    0.188736E-06    0.337289E+01   -0.203770E-13    0.348461E-14
    0.189346E-06    0.337289E+01   -0.205894E-13    0.352984E-14
    0.189957E-06    0.337289E+01   -0.208038E-13    0.357565E-14
    0.190571E-06    0.337289E+01   -0.210201E-13    0.362206E-14
    0.191186E-06    0.337289E+01   -0.212385E-13    0.366907E-14
    0.191804E-06    0.337289E+01   -0.214589E-13    0.371669E-14
    0.192423E-06    0.337289E+01   -0.216813E-13    0.376492E-14
    0.193044E-06    0.337289E+01   -0.219058E-13    0.381379E-14
    0.193668E-06    0.337289E+01   -0.221324E-13    0.386329E-14
    0.194293E-06    0.337289E+01   -0.223612E-13    0.391342E-14
    0.194921E-06    0.337289E+01   -0.225920E-13    0.396422E-14
    0.195550E-06    0.337289E+01   -0.228250E-13    0.401567E-14
    0.196182E-06    0.337289E+01   -0.230602E-13    0.406778E-14
    0.196815E-06    0.337289E+01   -0.232976E-13    0.412058E-14
    0.197451E-06    0.337289E+01   -0.235372E-13    0.417406E-14
    0.198089E-06    0.337289E+01   -0.237791E-13    0.422823E-14
    0.198728E-06    0.337289E+01   -0.240232E-13    0.428310E-14
    0.199370E-06    0.337289E+01   -0.242696E-13    0.433869E-14
    0.200014E-06    0.337289E+01   -0.245183E-13    0.439500E-14
    0.200660E-06    0.337289E+01   -0.247694E-13    0.445204E-14
    0.201308E-06    0.337289E+01   -0.250228E-13    0.450982E-14
    0.201958E-06    0.337289E+01   -0.252786E-13    0.456835E-14
    0.202610E-06    0.337289E+01   -0.255368E-13    0.462764E-14
