#    L    TT             EE             BB             TE          
   178   0.519469E+04   0.848261E+00   0.108456E-01  -0.371438E+02
   179   0.521837E+04   0.837514E+00   0.109817E-01  -0.364309E+02
   180   0.524159E+04   0.826892E+00   0.111188E-01  -0.356907E+02
   181   0.526435E+04   0.816426E+00   0.112568E-01  -0.349233E+02
   182   0.528665E+04   0.806144E+00   0.113958E-01  -0.341288E+02
   183   0.530847E+04   0.796069E+00   0.115358E-01  -0.333074E+02
   184   0.532981E+04   0.786239E+00   0.116767E-01  -0.324593E+02
   185   0.535066E+04   0.776689E+00   0.118185E-01  -0.315844E+02
   186   0.537101E+04   0.767444E+00   0.119613E-01  -0.306831E+02
   187   0.539086E+04   0.758533E+00   0.121050E-01  -0.297555E+02
   188   0.541020E+04   0.749996E+00   0.122496E-01  -0.288019E+02
   189   0.542902E+04   0.741864E+00   0.123952E-01  -0.278224E+02
   190   0.544732E+04   0.734171E+00   0.125416E-01  -0.268174E+02
   191   0.546509E+04   0.726950E+00   0.126889E-01  -0.257872E+02
   192   0.548232E+04   0.720235E+00   0.128371E-01  -0.247318E+02
   193   0.549900E+04   0.714059E+00   0.129862E-01  -0.236515E+02
   194   0.551514E+04   0.708459E+00   0.131361E-01  -0.225468E+02
   195   0.553072E+04   0.703468E+00   0.132869E-01  -0.214180E+02
   196   0.554574E+04   0.699124E+00   0.134385E-01  -0.202654E+02
   197   0.556021E+04   0.695464E+00   0.135910E-01  -0.190894E+02
   198   0.557412E+04   0.692521E+00   0.137442E-01  -0.178903E+02
   199   0.558746E+04   0.690333E+00   0.138983E-01  -0.166685E+02
   200   0.560023E+04   0.688935E+00   0.140531E-01  -0.154245E+02
   201   0.561243E+04   0.688364E+00   0.142088E-01  -0.141585E+02
   202   0.562405E+04   0.688655E+00   0.143652E-01  -0.128711E+02
   203   0.563505E+04   0.689847E+00   0.145224E-01  -0.115625E+02
   204   0.564546E+04   0.691974E+00   0.146803E-01  -0.102333E+02
   205   0.565525E+04   0.695074E+00   0.148390E-01  -0.888393E+01
   206   0.566441E+04   0.699183E+00   0.149984E-01  -0.751471E+01
   207   0.567293E+04   0.704337E+00   0.151585E-01  -0.612604E+01
   208   0.568081E+04   0.710573E+00   0.153193E-01  -0.471854E+01
   209   0.568808E+04   0.717926E+00   0.154808E-01  -0.329274E+01
   210   0.569472E+04   0.726434E+00   0.156429E-01  -0.184920E+01
   211   0.570074E+04   0.736134E+00   0.158057E-01  -0.388461E+00
   212   0.570615E+04   0.747060E+00   0.159692E-01   0.108890E+01
   213   0.571096E+04   0.759250E+00   0.161333E-01   0.258234E+01
   214   0.571517E+04   0.772741E+00   0.162980E-01   0.409129E+01
   215   0.571878E+04   0.787562E+00   0.164633E-01   0.561516E+01
   216   0.572178E+04   0.803758E+00   0.166292E-01   0.715337E+01
   217   0.572416E+04   0.821358E+00   0.167957E-01   0.870528E+01
   218   0.572593E+04   0.840392E+00   0.169627E-01   0.102704E+02
   219   0.572708E+04   0.860903E+00   0.171302E-01   0.118481E+02
   220   0.572760E+04   0.882922E+00   0.172983E-01   0.134377E+02
   221   0.572750E+04   0.906478E+00   0.174669E-01   0.150386E+02
   222   0.572676E+04   0.931614E+00   0.176360E-01   0.166503E+02
   223   0.572540E+04   0.958352E+00   0.178056E-01   0.182721E+02
   224   0.572341E+04   0.986730E+00   0.179756E-01   0.199032E+02
   225   0.572081E+04   0.101677E+01   0.181461E-01   0.215431E+02
   226   0.571757E+04   0.104851E+01   0.183170E-01   0.231911E+02
   227   0.571372E+04   0.108199E+01   0.184883E-01   0.248465E+02
   228   0.570924E+04   0.111723E+01   0.186600E-01   0.265086E+02
   229   0.570415E+04   0.115425E+01   0.188320E-01   0.281768E+02
   230   0.569844E+04   0.119310E+01   0.190044E-01   0.298504E+02
   231   0.569212E+04   0.123379E+01   0.191771E-01   0.315286E+02
   232   0.568519E+04   0.127635E+01   0.193502E-01   0.332108E+02
   233   0.567765E+04   0.132081E+01   0.195235E-01   0.348963E+02
   234   0.566949E+04   0.136720E+01   0.196971E-01   0.365843E+02
   235   0.566073E+04   0.141554E+01   0.198709E-01   0.382741E+02
   236   0.565137E+04   0.146586E+01   0.200450E-01   0.399651E+02
   237   0.564141E+04   0.151817E+01   0.202193E-01   0.416565E+02
   238   0.563085E+04   0.157250E+01   0.203937E-01   0.433475E+02
   239   0.561970E+04   0.162886E+01   0.205683E-01   0.450375E+02
   240   0.560796E+04   0.168729E+01   0.207431E-01   0.467255E+02
   241   0.559563E+04   0.174781E+01   0.209180E-01   0.484111E+02
   242   0.558272E+04   0.181042E+01   0.210930E-01   0.500933E+02
   243   0.556924E+04   0.187516E+01   0.212680E-01   0.517715E+02
   244   0.555518E+04   0.194202E+01   0.214431E-01   0.534450E+02
   245   0.554056E+04   0.201105E+01   0.216183E-01   0.551130E+02
   246   0.552539E+04   0.208223E+01   0.217935E-01   0.567749E+02
   247   0.550965E+04   0.215559E+01   0.219686E-01   0.584299E+02
   248   0.549338E+04   0.223115E+01   0.221437E-01   0.600771E+02
