#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   504   0.248931E+04  -0.550582E+02   0.383897E-05  -0.550582E+02   0.759169E+01   0.778774E-06   0.383897E-05   0.778774E-06   0.189019E-07
   505   0.249639E+04  -0.539881E+02   0.380017E-05  -0.539881E+02   0.749722E+01   0.759515E-06   0.380017E-05   0.759515E-06   0.188480E-07
   506   0.250327E+04  -0.528990E+02   0.376303E-05  -0.528990E+02   0.740678E+01   0.740410E-06   0.376303E-05   0.740410E-06   0.187942E-07
   507   0.250994E+04  -0.517918E+02   0.372755E-05  -0.517918E+02   0.732046E+01   0.721456E-06   0.372755E-05   0.721456E-06   0.187407E-07
   508   0.251642E+04  -0.506670E+02   0.369370E-05  -0.506670E+02   0.723832E+01   0.702650E-06   0.369370E-05   0.702650E-06   0.186874E-07
   509   0.252268E+04  -0.495255E+02   0.366147E-05  -0.495255E+02   0.716043E+01   0.683988E-06   0.366147E-05   0.683988E-06   0.186343E-07
   510   0.252874E+04  -0.483679E+02   0.363084E-05  -0.483679E+02   0.708685E+01   0.665468E-06   0.363084E-05   0.665468E-06   0.185814E-07
   511   0.253459E+04  -0.471948E+02   0.360179E-05  -0.471948E+02   0.701763E+01   0.647086E-06   0.360179E-05   0.647086E-06   0.185288E-07
   512   0.254023E+04  -0.460070E+02   0.357431E-05  -0.460070E+02   0.695284E+01   0.628840E-06   0.357431E-05   0.628840E-06   0.184764E-07
   513   0.254565E+04  -0.448053E+02   0.354838E-05  -0.448053E+02   0.689254E+01   0.610725E-06   0.354838E-05   0.610725E-06   0.184241E-07
   514   0.255085E+04  -0.435902E+02   0.352398E-05  -0.435902E+02   0.683680E+01   0.592739E-06   0.352398E-05   0.592739E-06   0.183721E-07
   515   0.255584E+04  -0.423624E+02   0.350109E-05  -0.423624E+02   0.678566E+01   0.574879E-06   0.350109E-05   0.574879E-06   0.183203E-07
   516   0.256061E+04  -0.411230E+02   0.347970E-05  -0.411230E+02   0.673918E+01   0.557142E-06   0.347970E-05   0.557142E-06   0.182688E-07
   517   0.256515E+04  -0.398723E+02   0.345978E-05  -0.398723E+02   0.669742E+01   0.539524E-06   0.345978E-05   0.539524E-06   0.182174E-07
   518   0.256946E+04  -0.386112E+02   0.344133E-05  -0.386112E+02   0.666043E+01   0.522022E-06   0.344133E-05   0.522022E-06   0.181662E-07
   519   0.257354E+04  -0.373406E+02   0.342432E-05  -0.373406E+02   0.662826E+01   0.504634E-06   0.342432E-05   0.504634E-06   0.181153E-07
   520   0.257739E+04  -0.360610E+02   0.340874E-05  -0.360610E+02   0.660096E+01   0.487355E-06   0.340874E-05   0.487355E-06   0.180645E-07
   521   0.258100E+04  -0.347733E+02   0.339457E-05  -0.347733E+02   0.657858E+01   0.470183E-06   0.339457E-05   0.470183E-06   0.180140E-07
   522   0.258437E+04  -0.334782E+02   0.338179E-05  -0.334782E+02   0.656116E+01   0.453115E-06   0.338179E-05   0.453115E-06   0.179637E-07
   523   0.258749E+04  -0.321764E+02   0.337038E-05  -0.321764E+02   0.654876E+01   0.436147E-06   0.337038E-05   0.436147E-06   0.179136E-07
   524   0.259039E+04  -0.308687E+02   0.336034E-05  -0.308687E+02   0.654139E+01   0.419277E-06   0.336034E-05   0.419277E-06   0.178637E-07
   525   0.259303E+04  -0.295559E+02   0.335163E-05  -0.295559E+02   0.653910E+01   0.402500E-06   0.335163E-05   0.402500E-06   0.178140E-07
   526   0.259545E+04  -0.282386E+02   0.334424E-05  -0.282386E+02   0.654190E+01   0.385815E-06   0.334424E-05   0.385815E-06   0.177645E-07
   527   0.259762E+04  -0.269177E+02   0.333817E-05  -0.269177E+02   0.654984E+01   0.369218E-06   0.333817E-05   0.369218E-06   0.177152E-07
   528   0.259956E+04  -0.255938E+02   0.333337E-05  -0.255938E+02   0.656295E+01   0.352705E-06   0.333337E-05   0.352705E-06   0.176661E-07
   529   0.260125E+04  -0.242677E+02   0.332985E-05  -0.242677E+02   0.658125E+01   0.336274E-06   0.332985E-05   0.336274E-06   0.176172E-07
   530   0.260272E+04  -0.229404E+02   0.332759E-05  -0.229404E+02   0.660475E+01   0.319922E-06   0.332759E-05   0.319922E-06   0.175685E-07
   531   0.260394E+04  -0.216124E+02   0.332655E-05  -0.216124E+02   0.663351E+01   0.303644E-06   0.332655E-05   0.303644E-06   0.175200E-07
   532   0.260493E+04  -0.202848E+02   0.332674E-05  -0.202848E+02   0.666751E+01   0.287439E-06   0.332674E-05   0.287439E-06   0.174717E-07
   533   0.260568E+04  -0.189581E+02   0.332813E-05  -0.189581E+02   0.670678E+01   0.271303E-06   0.332813E-05   0.271303E-06   0.174236E-07
   534   0.260618E+04  -0.176334E+02   0.333070E-05  -0.176334E+02   0.675134E+01   0.255232E-06   0.333070E-05   0.255232E-06   0.173757E-07
   535   0.260646E+04  -0.163113E+02   0.333444E-05  -0.163113E+02   0.680122E+01   0.239224E-06   0.333444E-05   0.239224E-06   0.173280E-07
   536   0.260649E+04  -0.149928E+02   0.333933E-05  -0.149928E+02   0.685643E+01   0.223276E-06   0.333933E-05   0.223276E-06   0.172804E-07
   537   0.260628E+04  -0.136785E+02   0.334535E-05  -0.136785E+02   0.691696E+01   0.207384E-06   0.334535E-05   0.207384E-06   0.172331E-07
   538   0.260585E+04  -0.123692E+02   0.335249E-05  -0.123692E+02   0.698283E+01   0.191545E-06   0.335249E-05   0.191545E-06   0.171860E-07
   539   0.260518E+04  -0.110657E+02   0.336072E-05  -0.110657E+02   0.705404E+01   0.175756E-06   0.336072E-05   0.175756E-06   0.171390E-07
   540   0.260426E+04  -0.976873E+01   0.337003E-05  -0.976873E+01   0.713058E+01   0.160014E-06   0.337003E-05   0.160014E-06   0.170923E-07
   541   0.260313E+04  -0.847903E+01   0.338040E-05  -0.847903E+01   0.721247E+01   0.144316E-06   0.338040E-05   0.144316E-06   0.170457E-07
   542   0.260176E+04  -0.719741E+01   0.339182E-05  -0.719741E+01   0.729970E+01   0.128658E-06   0.339182E-05   0.128658E-06   0.169994E-07
   543   0.260016E+04  -0.592457E+01   0.340427E-05  -0.592457E+01   0.739227E+01   0.113037E-06   0.340427E-05   0.113037E-06   0.169532E-07
   544   0.259833E+04  -0.466126E+01   0.341773E-05  -0.466126E+01   0.749017E+01   0.974514E-07   0.341773E-05   0.974514E-07   0.169072E-07
   545   0.259628E+04  -0.340816E+01   0.343218E-05  -0.340816E+01   0.759338E+01   0.818964E-07   0.343218E-05   0.818964E-07   0.168614E-07
   546   0.259401E+04  -0.216598E+01   0.344761E-05  -0.216598E+01   0.770190E+01   0.663694E-07   0.344761E-05   0.663694E-07   0.168158E-07
   547   0.259151E+04  -0.935421E+00   0.346399E-05  -0.935421E+00   0.781570E+01   0.508671E-07   0.346399E-05   0.508671E-07   0.167704E-07
   548   0.258879E+04   0.282825E+00   0.348132E-05   0.282825E+00   0.793469E+01   0.353865E-07   0.348132E-05   0.353865E-07   0.167251E-07
   549   0.258585E+04   0.148804E+01   0.349957E-05   0.148804E+01   0.805904E+01   0.199244E-07   0.349957E-05   0.199244E-07   0.166801E-07
   550   0.258269E+04   0.267953E+01   0.351873E-05   0.267953E+01   0.818850E+01   0.447759E-08   0.351873E-05   0.447759E-08   0.166352E-07
   551   0.257932E+04   0.385657E+01   0.353877E-05   0.385657E+01   0.832324E+01  -0.109561E-07   0.353877E-05  -0.109561E-07   0.165905E-07
   552   0.257573E+04   0.501846E+01   0.355970E-05   0.501846E+01   0.846309E+01  -0.263755E-07   0.355970E-05  -0.263755E-07   0.165460E-07
   553   0.257194E+04   0.616448E+01   0.358149E-05   0.616448E+01   0.860806E+01  -0.417782E-07   0.358149E-05  -0.417782E-07   0.165016E-07
   554   0.256794E+04   0.729395E+01   0.360414E-05   0.729395E+01   0.875814E+01  -0.571620E-07   0.360414E-05  -0.571620E-07   0.164575E-07
   555   0.256374E+04   0.840616E+01   0.362764E-05   0.840616E+01   0.891325E+01  -0.725248E-07   0.362764E-05  -0.725248E-07   0.164135E-07
   556   0.255934E+04   0.950039E+01   0.365198E-05   0.950039E+01   0.907340E+01  -0.878643E-07   0.365198E-05  -0.878643E-07   0.163697E-07
   557   0.255475E+04   0.105760E+02   0.367714E-05   0.105760E+02   0.923850E+01  -0.103178E-06   0.367714E-05  -0.103178E-06   0.163260E-07
   558   0.254996E+04   0.116323E+02   0.370311E-05   0.116323E+02   0.940855E+01  -0.118464E-06   0.370311E-05  -0.118464E-06   0.162826E-07
   559   0.254499E+04   0.126687E+02   0.372989E-05   0.126687E+02   0.958348E+01  -0.133721E-06   0.372989E-05  -0.133721E-06   0.162393E-07
   560   0.253982E+04   0.136846E+02   0.375746E-05   0.136846E+02   0.976328E+01  -0.148945E-06   0.375746E-05  -0.148945E-06   0.161962E-07
   561   0.253448E+04   0.146794E+02   0.378582E-05   0.146794E+02   0.994781E+01  -0.164134E-06   0.378582E-05  -0.164134E-06   0.161533E-07
   562   0.252894E+04   0.156526E+02   0.381495E-05   0.156526E+02   0.101371E+02  -0.179287E-06   0.381495E-05  -0.179287E-06   0.161105E-07
   563   0.252323E+04   0.166033E+02   0.384485E-05   0.166033E+02   0.103311E+02  -0.194402E-06   0.384485E-05  -0.194402E-06   0.160680E-07
   564   0.251735E+04   0.175312E+02   0.387549E-05   0.175312E+02   0.105297E+02  -0.209475E-06   0.387549E-05  -0.209475E-06   0.160255E-07
   565   0.251129E+04   0.184357E+02   0.390688E-05   0.184357E+02   0.107328E+02  -0.224504E-06   0.390688E-05  -0.224504E-06   0.159833E-07
   566   0.250507E+04   0.193162E+02   0.393899E-05   0.193162E+02   0.109406E+02  -0.239489E-06   0.393899E-05  -0.239489E-06   0.159412E-07
   567   0.249868E+04   0.201722E+02   0.397183E-05   0.201722E+02   0.111526E+02  -0.254425E-06   0.397183E-05  -0.254425E-06   0.158993E-07
   568   0.249212E+04   0.210031E+02   0.400538E-05   0.210031E+02   0.113691E+02  -0.269311E-06   0.400538E-05  -0.269311E-06   0.158576E-07
   569   0.248541E+04   0.218086E+02   0.403963E-05   0.218086E+02   0.115898E+02  -0.284146E-06   0.403963E-05  -0.284146E-06   0.158160E-07
   570   0.247853E+04   0.225881E+02   0.407456E-05   0.225881E+02   0.118148E+02  -0.298926E-06   0.407456E-05  -0.298926E-06   0.157746E-07
   571   0.247150E+04   0.233409E+02   0.411017E-05   0.233409E+02   0.120439E+02  -0.313649E-06   0.411017E-05  -0.313649E-06   0.157334E-07
   572   0.246433E+04   0.240669E+02   0.414645E-05   0.240669E+02   0.122771E+02  -0.328313E-06   0.414645E-05  -0.328313E-06   0.156924E-07
   573   0.245701E+04   0.247654E+02   0.418339E-05   0.247654E+02   0.125143E+02  -0.342916E-06   0.418339E-05  -0.342916E-06   0.156515E-07
   574   0.244955E+04   0.254362E+02   0.422098E-05   0.254362E+02   0.127554E+02  -0.357456E-06   0.422098E-05  -0.357456E-06   0.156107E-07
   575   0.244196E+04   0.260789E+02   0.425920E-05   0.260789E+02   0.130003E+02  -0.371930E-06   0.425920E-05  -0.371930E-06   0.155701E-07
   576   0.243424E+04   0.266930E+02   0.429804E-05   0.266930E+02   0.132490E+02  -0.386337E-06   0.429804E-05  -0.386337E-06   0.155297E-07
   577   0.242640E+04   0.272782E+02   0.433750E-05   0.272782E+02   0.135014E+02  -0.400673E-06   0.433750E-05  -0.400673E-06   0.154895E-07
   578   0.241844E+04   0.278340E+02   0.437756E-05   0.278340E+02   0.137572E+02  -0.414938E-06   0.437756E-05  -0.414938E-06   0.154494E-07
   579   0.241037E+04   0.283602E+02   0.441822E-05   0.283602E+02   0.140167E+02  -0.429127E-06   0.441822E-05  -0.429127E-06   0.154095E-07
   580   0.240219E+04   0.288563E+02   0.445946E-05   0.288563E+02   0.142795E+02  -0.443241E-06   0.445946E-05  -0.443241E-06   0.153697E-07
   581   0.239391E+04   0.293220E+02   0.450128E-05   0.293220E+02   0.145456E+02  -0.457275E-06   0.450128E-05  -0.457275E-06   0.153301E-07
   582   0.238553E+04   0.297568E+02   0.454365E-05   0.297568E+02   0.148149E+02  -0.471228E-06   0.454365E-05  -0.471228E-06   0.152907E-07
   583   0.237705E+04   0.301606E+02   0.458658E-05   0.301606E+02   0.150873E+02  -0.485098E-06   0.458658E-05  -0.485098E-06   0.152514E-07
   584   0.236848E+04   0.305328E+02   0.463005E-05   0.305328E+02   0.153628E+02  -0.498882E-06   0.463005E-05  -0.498882E-06   0.152122E-07
   585   0.235984E+04   0.308731E+02   0.467404E-05   0.308731E+02   0.156411E+02  -0.512578E-06   0.467404E-05  -0.512578E-06   0.151732E-07
   586   0.235110E+04   0.311813E+02   0.471856E-05   0.311813E+02   0.159223E+02  -0.526185E-06   0.471856E-05  -0.526185E-06   0.151344E-07
   587   0.234229E+04   0.314572E+02   0.476359E-05   0.314572E+02   0.162061E+02  -0.539699E-06   0.476359E-05  -0.539699E-06   0.150957E-07
   588   0.233342E+04   0.317005E+02   0.480911E-05   0.317005E+02   0.164926E+02  -0.553118E-06   0.480911E-05  -0.553118E-06   0.150572E-07
   589   0.232447E+04   0.319109E+02   0.485513E-05   0.319109E+02   0.167815E+02  -0.566441E-06   0.485513E-05  -0.566441E-06   0.150189E-07
   590   0.231547E+04   0.320883E+02   0.490162E-05   0.320883E+02   0.170729E+02  -0.579665E-06   0.490162E-05  -0.579665E-06   0.149806E-07
   591   0.230642E+04   0.322324E+02   0.494858E-05   0.322324E+02   0.173665E+02  -0.592788E-06   0.494858E-05  -0.592788E-06   0.149426E-07
   592   0.229731E+04   0.323429E+02   0.499599E-05   0.323429E+02   0.176623E+02  -0.605808E-06   0.499599E-05  -0.605808E-06   0.149047E-07
   593   0.228815E+04   0.324198E+02   0.504385E-05   0.324198E+02   0.179601E+02  -0.618722E-06   0.504385E-05  -0.618722E-06   0.148669E-07
   594   0.227894E+04   0.324629E+02   0.509215E-05   0.324629E+02   0.182599E+02  -0.631528E-06   0.509215E-05  -0.631528E-06   0.148293E-07
   595   0.226971E+04   0.324721E+02   0.514087E-05   0.324721E+02   0.185615E+02  -0.644224E-06   0.514087E-05  -0.644224E-06   0.147918E-07
   596   0.226044E+04   0.324473E+02   0.519001E-05   0.324473E+02   0.188648E+02  -0.656808E-06   0.519001E-05  -0.656808E-06   0.147545E-07
   597   0.225115E+04   0.323881E+02   0.523955E-05   0.323881E+02   0.191697E+02  -0.669277E-06   0.523955E-05  -0.669277E-06   0.147173E-07
   598   0.224182E+04   0.322948E+02   0.528948E-05   0.322948E+02   0.194761E+02  -0.681630E-06   0.528948E-05  -0.681630E-06   0.146803E-07
   599   0.223249E+04   0.321670E+02   0.533979E-05   0.321670E+02   0.197838E+02  -0.693864E-06   0.533979E-05  -0.693864E-06   0.146434E-07
   600   0.222313E+04   0.320047E+02   0.539048E-05   0.320047E+02   0.200928E+02  -0.705976E-06   0.539048E-05  -0.705976E-06   0.146067E-07
   601   0.221378E+04   0.318080E+02   0.544153E-05   0.318080E+02   0.204028E+02  -0.717966E-06   0.544153E-05  -0.717966E-06   0.145701E-07
   602   0.220440E+04   0.315770E+02   0.549293E-05   0.315770E+02   0.207139E+02  -0.729831E-06   0.549293E-05  -0.729831E-06   0.145336E-07
   603   0.219505E+04   0.313115E+02   0.554467E-05   0.313115E+02   0.210258E+02  -0.741572E-06   0.554467E-05  -0.741572E-06   0.144973E-07
   604   0.218569E+04   0.310116E+02   0.559674E-05   0.310116E+02   0.213385E+02  -0.753188E-06   0.559674E-05  -0.753188E-06   0.144612E-07
   605   0.217633E+04   0.306774E+02   0.564913E-05   0.306774E+02   0.216518E+02  -0.764677E-06   0.564913E-05  -0.764677E-06   0.144251E-07
   606   0.216700E+04   0.303089E+02   0.570182E-05   0.303089E+02   0.219656E+02  -0.776041E-06   0.570182E-05  -0.776041E-06   0.143893E-07
   607   0.215768E+04   0.299061E+02   0.575481E-05   0.299061E+02   0.222799E+02  -0.787277E-06   0.575481E-05  -0.787277E-06   0.143535E-07
   608   0.214839E+04   0.294692E+02   0.580809E-05   0.294692E+02   0.225943E+02  -0.798386E-06   0.580809E-05  -0.798386E-06   0.143179E-07
   609   0.213913E+04   0.289983E+02   0.586165E-05   0.289983E+02   0.229090E+02  -0.809366E-06   0.586165E-05  -0.809366E-06   0.142824E-07
   610   0.212990E+04   0.284934E+02   0.591547E-05   0.284934E+02   0.232236E+02  -0.820218E-06   0.591547E-05  -0.820218E-06   0.142471E-07
   611   0.212071E+04   0.279547E+02   0.596954E-05   0.279547E+02   0.235381E+02  -0.830940E-06   0.596954E-05  -0.830940E-06   0.142119E-07
   612   0.211156E+04   0.273822E+02   0.602386E-05   0.273822E+02   0.238523E+02  -0.841532E-06   0.602386E-05  -0.841532E-06   0.141769E-07
   613   0.210245E+04   0.267761E+02   0.607841E-05   0.267761E+02   0.241662E+02  -0.851994E-06   0.607841E-05  -0.851994E-06   0.141419E-07
   614   0.209341E+04   0.261367E+02   0.613319E-05   0.261367E+02   0.244795E+02  -0.862324E-06   0.613319E-05  -0.862324E-06   0.141072E-07
   615   0.208441E+04   0.254642E+02   0.618817E-05   0.254642E+02   0.247922E+02  -0.872522E-06   0.618817E-05  -0.872522E-06   0.140725E-07
   616   0.207548E+04   0.247589E+02   0.624336E-05   0.247589E+02   0.251041E+02  -0.882588E-06   0.624336E-05  -0.882588E-06   0.140380E-07
   617   0.206662E+04   0.240211E+02   0.629874E-05   0.240211E+02   0.254153E+02  -0.892521E-06   0.629874E-05  -0.892521E-06   0.140036E-07
   618   0.205782E+04   0.232511E+02   0.635429E-05   0.232511E+02   0.257255E+02  -0.902320E-06   0.635429E-05  -0.902320E-06   0.139694E-07
   619   0.204911E+04   0.224492E+02   0.641002E-05   0.224492E+02   0.260346E+02  -0.911984E-06   0.641002E-05  -0.911984E-06   0.139353E-07
   620   0.204047E+04   0.216157E+02   0.646590E-05   0.216157E+02   0.263426E+02  -0.921514E-06   0.646590E-05  -0.921514E-06   0.139013E-07
   621   0.203192E+04   0.207509E+02   0.652193E-05   0.207509E+02   0.266493E+02  -0.930908E-06   0.652193E-05  -0.930908E-06   0.138674E-07
   622   0.202346E+04   0.198551E+02   0.657810E-05   0.198551E+02   0.269544E+02  -0.940166E-06   0.657810E-05  -0.940166E-06   0.138337E-07
   623   0.201509E+04   0.189286E+02   0.663439E-05   0.189286E+02   0.272581E+02  -0.949288E-06   0.663439E-05  -0.949288E-06   0.138001E-07
   624   0.200682E+04   0.179717E+02   0.669080E-05   0.179717E+02   0.275601E+02  -0.958272E-06   0.669080E-05  -0.958272E-06   0.137667E-07
   625   0.199865E+04   0.169848E+02   0.674731E-05   0.169848E+02   0.278603E+02  -0.967118E-06   0.674731E-05  -0.967118E-06   0.137333E-07
   626   0.199059E+04   0.159681E+02   0.680392E-05   0.159681E+02   0.281585E+02  -0.975825E-06   0.680392E-05  -0.975825E-06   0.137001E-07
   627   0.198263E+04   0.149220E+02   0.686060E-05   0.149220E+02   0.284546E+02  -0.984393E-06   0.686060E-05  -0.984393E-06   0.136671E-07
   628   0.197479E+04   0.138468E+02   0.691737E-05   0.138468E+02   0.287485E+02  -0.992822E-06   0.691737E-05  -0.992822E-06   0.136341E-07
   629   0.196706E+04   0.127431E+02   0.697419E-05   0.127431E+02   0.290401E+02  -0.100111E-05   0.697419E-05  -0.100111E-05   0.136013E-07
   630   0.195946E+04   0.116113E+02   0.703106E-05   0.116113E+02   0.293294E+02  -0.100926E-05   0.703106E-05  -0.100926E-05   0.135686E-07
   631   0.195198E+04   0.104517E+02   0.708798E-05   0.104517E+02   0.296160E+02  -0.101726E-05   0.708798E-05  -0.101726E-05   0.135360E-07
   632   0.194462E+04   0.926490E+01   0.714492E-05   0.926490E+01   0.299000E+02  -0.102513E-05   0.714492E-05  -0.102513E-05   0.135036E-07
   633   0.193740E+04   0.805123E+01   0.720188E-05   0.805123E+01   0.301811E+02  -0.103285E-05   0.720188E-05  -0.103285E-05   0.134712E-07
   634   0.193031E+04   0.681121E+01   0.725885E-05   0.681121E+01   0.304593E+02  -0.104042E-05   0.725885E-05  -0.104042E-05   0.134390E-07
   635   0.192336E+04   0.554536E+01   0.731582E-05   0.554536E+01   0.307346E+02  -0.104786E-05   0.731582E-05  -0.104786E-05   0.134070E-07
   636   0.191656E+04   0.425416E+01   0.737278E-05   0.425416E+01   0.310066E+02  -0.105514E-05   0.737278E-05  -0.105514E-05   0.133750E-07
   637   0.190990E+04   0.293815E+01   0.742971E-05   0.293815E+01   0.312755E+02  -0.106229E-05   0.742971E-05  -0.106229E-05   0.133432E-07
   638   0.190338E+04   0.159786E+01   0.748660E-05   0.159786E+01   0.315410E+02  -0.106929E-05   0.748660E-05  -0.106929E-05   0.133115E-07
   639   0.189702E+04   0.233792E+00   0.754345E-05   0.233792E+00   0.318030E+02  -0.107614E-05   0.754345E-05  -0.107614E-05   0.132799E-07
   640   0.189081E+04  -0.115352E+01   0.760025E-05  -0.115352E+01   0.320615E+02  -0.108284E-05   0.760025E-05  -0.108284E-05   0.132484E-07
   641   0.188476E+04  -0.256353E+01   0.765698E-05  -0.256353E+01   0.323163E+02  -0.108940E-05   0.765698E-05  -0.108940E-05   0.132171E-07
   642   0.187886E+04  -0.399564E+01   0.771363E-05  -0.399564E+01   0.325672E+02  -0.109580E-05   0.771363E-05  -0.109580E-05   0.131858E-07
   643   0.187314E+04  -0.544925E+01   0.777019E-05  -0.544925E+01   0.328143E+02  -0.110206E-05   0.777019E-05  -0.110206E-05   0.131547E-07
   644   0.186757E+04  -0.692373E+01   0.782665E-05  -0.692373E+01   0.330574E+02  -0.110817E-05   0.782665E-05  -0.110817E-05   0.131237E-07
   645   0.186217E+04  -0.841848E+01   0.788300E-05  -0.841848E+01   0.332962E+02  -0.111413E-05   0.788300E-05  -0.111413E-05   0.130928E-07
   646   0.185695E+04  -0.993288E+01   0.793924E-05  -0.993288E+01   0.335308E+02  -0.111994E-05   0.793924E-05  -0.111994E-05   0.130621E-07
   647   0.185190E+04  -0.114663E+02   0.799534E-05  -0.114663E+02   0.337611E+02  -0.112560E-05   0.799534E-05  -0.112560E-05   0.130314E-07
   648   0.184702E+04  -0.130181E+02   0.805130E-05  -0.130181E+02   0.339868E+02  -0.113110E-05   0.805130E-05  -0.113110E-05   0.130009E-07
   649   0.184232E+04  -0.145876E+02   0.810710E-05  -0.145876E+02   0.342081E+02  -0.113645E-05   0.810710E-05  -0.113645E-05   0.129704E-07
   650   0.183780E+04  -0.161743E+02   0.816275E-05  -0.161743E+02   0.344246E+02  -0.114165E-05   0.816275E-05  -0.114165E-05   0.129401E-07
   651   0.183346E+04  -0.177773E+02   0.821822E-05  -0.177773E+02   0.346365E+02  -0.114670E-05   0.821822E-05  -0.114670E-05   0.129099E-07
   652   0.182930E+04  -0.193959E+02   0.827351E-05  -0.193959E+02   0.348436E+02  -0.115159E-05   0.827351E-05  -0.115159E-05   0.128799E-07
   653   0.182533E+04  -0.210297E+02   0.832860E-05  -0.210297E+02   0.350459E+02  -0.115633E-05   0.832860E-05  -0.115633E-05   0.128499E-07
   654   0.182154E+04  -0.226778E+02   0.838350E-05  -0.226778E+02   0.352433E+02  -0.116092E-05   0.838350E-05  -0.116092E-05   0.128200E-07
   655   0.181796E+04  -0.243397E+02   0.843820E-05  -0.243397E+02   0.354358E+02  -0.116536E-05   0.843820E-05  -0.116536E-05   0.127903E-07
   656   0.181455E+04  -0.260145E+02   0.849268E-05  -0.260145E+02   0.356232E+02  -0.116964E-05   0.849268E-05  -0.116964E-05   0.127606E-07
   657   0.181134E+04  -0.277016E+02   0.854694E-05  -0.277016E+02   0.358056E+02  -0.117377E-05   0.854694E-05  -0.117377E-05   0.127311E-07
   658   0.180833E+04  -0.294003E+02   0.860097E-05  -0.294003E+02   0.359827E+02  -0.117775E-05   0.860097E-05  -0.117775E-05   0.127017E-07
   659   0.180551E+04  -0.311098E+02   0.865476E-05  -0.311098E+02   0.361546E+02  -0.118158E-05   0.865476E-05  -0.118158E-05   0.126724E-07
   660   0.180289E+04  -0.328295E+02   0.870831E-05  -0.328295E+02   0.363212E+02  -0.118526E-05   0.870831E-05  -0.118526E-05   0.126432E-07
   661   0.180046E+04  -0.345586E+02   0.876160E-05  -0.345586E+02   0.364823E+02  -0.118879E-05   0.876160E-05  -0.118879E-05   0.126141E-07
   662   0.179823E+04  -0.362964E+02   0.881463E-05  -0.362964E+02   0.366379E+02  -0.119218E-05   0.881463E-05  -0.119218E-05   0.125851E-07
   663   0.179620E+04  -0.380421E+02   0.886740E-05  -0.380421E+02   0.367880E+02  -0.119541E-05   0.886740E-05  -0.119541E-05   0.125562E-07
   664   0.179437E+04  -0.397950E+02   0.891988E-05  -0.397950E+02   0.369323E+02  -0.119849E-05   0.891988E-05  -0.119849E-05   0.125275E-07
   665   0.179275E+04  -0.415543E+02   0.897208E-05  -0.415543E+02   0.370711E+02  -0.120143E-05   0.897208E-05  -0.120143E-05   0.124988E-07
   666   0.179132E+04  -0.433194E+02   0.902399E-05  -0.433194E+02   0.372041E+02  -0.120422E-05   0.902399E-05  -0.120422E-05   0.124702E-07
   667   0.179009E+04  -0.450894E+02   0.907560E-05  -0.450894E+02   0.373313E+02  -0.120686E-05   0.907560E-05  -0.120686E-05   0.124418E-07
   668   0.178907E+04  -0.468635E+02   0.912689E-05  -0.468635E+02   0.374527E+02  -0.120936E-05   0.912689E-05  -0.120936E-05   0.124134E-07
   669   0.178824E+04  -0.486412E+02   0.917787E-05  -0.486412E+02   0.375682E+02  -0.121170E-05   0.917787E-05  -0.121170E-05   0.123852E-07
   670   0.178762E+04  -0.504215E+02   0.922853E-05  -0.504215E+02   0.376777E+02  -0.121391E-05   0.922853E-05  -0.121391E-05   0.123570E-07
   671   0.178721E+04  -0.522037E+02   0.927885E-05  -0.522037E+02   0.377813E+02  -0.121596E-05   0.927885E-05  -0.121596E-05   0.123290E-07
   672   0.178699E+04  -0.539872E+02   0.932883E-05  -0.539872E+02   0.378789E+02  -0.121788E-05   0.932883E-05  -0.121788E-05   0.123010E-07
   673   0.178698E+04  -0.557710E+02   0.937847E-05  -0.557710E+02   0.379704E+02  -0.121964E-05   0.937847E-05  -0.121964E-05   0.122732E-07
   674   0.178717E+04  -0.575545E+02   0.942774E-05  -0.575545E+02   0.380559E+02  -0.122127E-05   0.942774E-05  -0.122127E-05   0.122455E-07
   675   0.178756E+04  -0.593370E+02   0.947666E-05  -0.593370E+02   0.381352E+02  -0.122274E-05   0.947666E-05  -0.122274E-05   0.122178E-07
   676   0.178816E+04  -0.611175E+02   0.952519E-05  -0.611175E+02   0.382083E+02  -0.122408E-05   0.952519E-05  -0.122408E-05   0.121903E-07
   677   0.178896E+04  -0.628955E+02   0.957335E-05  -0.628955E+02   0.382753E+02  -0.122527E-05   0.957335E-05  -0.122527E-05   0.121629E-07
   678   0.178995E+04  -0.646699E+02   0.962112E-05  -0.646699E+02   0.383360E+02  -0.122632E-05   0.962112E-05  -0.122632E-05   0.121355E-07
   679   0.179115E+04  -0.664400E+02   0.966850E-05  -0.664400E+02   0.383904E+02  -0.122723E-05   0.966850E-05  -0.122723E-05   0.121083E-07
   680   0.179254E+04  -0.682052E+02   0.971547E-05  -0.682052E+02   0.384386E+02  -0.122799E-05   0.971547E-05  -0.122799E-05   0.120812E-07
   681   0.179414E+04  -0.699643E+02   0.976203E-05  -0.699643E+02   0.384803E+02  -0.122862E-05   0.976203E-05  -0.122862E-05   0.120541E-07
   682   0.179592E+04  -0.717167E+02   0.980816E-05  -0.717167E+02   0.385157E+02  -0.122910E-05   0.980816E-05  -0.122910E-05   0.120272E-07
   683   0.179790E+04  -0.734616E+02   0.985387E-05  -0.734616E+02   0.385445E+02  -0.122944E-05   0.985387E-05  -0.122944E-05   0.120003E-07
