 a		phi		phidot		fde
    0.173001E-06    0.100000E+02    0.560718E-10    0.783745E-13
    0.173559E-06    0.100000E+02    0.566792E-10    0.793917E-13
    0.174120E-06    0.100000E+02    0.572921E-10    0.804221E-13
    0.174682E-06    0.100000E+02    0.579106E-10    0.814659E-13
    0.175246E-06    0.100000E+02    0.585347E-10    0.825232E-13
    0.175812E-06    0.100000E+02    0.591644E-10    0.835943E-13
    0.176380E-06    0.100000E+02    0.597999E-10    0.846792E-13
    0.176950E-06    0.100000E+02    0.604412E-10    0.857782E-13
    0.177521E-06    0.100000E+02    0.610883E-10    0.868915E-13
    0.178094E-06    0.100000E+02    0.617414E-10    0.880193E-13
    0.178669E-06    0.100000E+02    0.624004E-10    0.891616E-13
    0.179247E-06    0.100000E+02    0.630654E-10    0.903188E-13
    0.179825E-06    0.100000E+02    0.637365E-10    0.914911E-13
    0.180406E-06    0.100000E+02    0.644138E-10    0.926785E-13
    0.180989E-06    0.100000E+02    0.650973E-10    0.938813E-13
    0.181573E-06    0.100000E+02    0.657870E-10    0.950998E-13
    0.182160E-06    0.100000E+02    0.664831E-10    0.963341E-13
    0.182748E-06    0.100000E+02    0.671856E-10    0.975844E-13
    0.183338E-06    0.100000E+02    0.678945E-10    0.988509E-13
    0.183930E-06    0.100000E+02    0.686100E-10    0.100134E-12
    0.184524E-06    0.100000E+02    0.693321E-10    0.101433E-12
    0.185120E-06    0.100000E+02    0.700608E-10    0.102750E-12
    0.185718E-06    0.100000E+02    0.707963E-10    0.104083E-12
    0.186318E-06    0.100000E+02    0.715385E-10    0.105434E-12
    0.186919E-06    0.100000E+02    0.722876E-10    0.106803E-12
    0.187523E-06    0.100000E+02    0.730437E-10    0.108189E-12
    0.188129E-06    0.100000E+02    0.738068E-10    0.109593E-12
    0.188736E-06    0.100000E+02    0.745769E-10    0.111015E-12
    0.189346E-06    0.100000E+02    0.753542E-10    0.112456E-12
    0.189957E-06    0.100000E+02    0.761387E-10    0.113916E-12
    0.190571E-06    0.100000E+02    0.769305E-10    0.115394E-12
    0.191186E-06    0.100000E+02    0.777296E-10    0.116892E-12
    0.191804E-06    0.100000E+02    0.785362E-10    0.118409E-12
    0.192423E-06    0.100000E+02    0.793503E-10    0.119946E-12
    0.193044E-06    0.100000E+02    0.801720E-10    0.121502E-12
    0.193668E-06    0.100000E+02    0.810014E-10    0.123079E-12
    0.194293E-06    0.100000E+02    0.818384E-10    0.124677E-12
    0.194921E-06    0.100000E+02    0.826833E-10    0.126295E-12
    0.195550E-06    0.100000E+02    0.835361E-10    0.127934E-12
    0.196182E-06    0.100000E+02    0.843969E-10    0.129594E-12
    0.196815E-06    0.100000E+02    0.852657E-10    0.131276E-12
    0.197451E-06    0.100000E+02    0.861427E-10    0.132980E-12
    0.198089E-06    0.100000E+02    0.870278E-10    0.134706E-12
    0.198728E-06    0.100000E+02    0.879213E-10    0.136454E-12
    0.199370E-06    0.100000E+02    0.888231E-10    0.138225E-12
    0.200014E-06    0.100000E+02    0.897334E-10    0.140019E-12
    0.200660E-06    0.100000E+02    0.906522E-10    0.141836E-12
    0.201308E-06    0.100000E+02    0.915797E-10    0.143677E-12
    0.201958E-06    0.100000E+02    0.925159E-10    0.145542E-12
