 a		phi		phidot		fde
    0.159603E-06    0.156033E+01   -0.531161E-15    0.565368E-16
    0.160118E-06    0.156033E+01   -0.537240E-15    0.572706E-16
    0.160635E-06    0.156033E+01   -0.543372E-15    0.580139E-16
    0.161154E-06    0.156033E+01   -0.549558E-15    0.587669E-16
    0.161675E-06    0.156033E+01   -0.555799E-15    0.595296E-16
    0.162197E-06    0.156033E+01   -0.562094E-15    0.603022E-16
    0.162721E-06    0.156033E+01   -0.568445E-15    0.610849E-16
    0.163246E-06    0.156033E+01   -0.574851E-15    0.618777E-16
    0.163773E-06    0.156033E+01   -0.581315E-15    0.626808E-16
    0.164302E-06    0.156033E+01   -0.587835E-15    0.634943E-16
    0.164833E-06    0.156033E+01   -0.594413E-15    0.643184E-16
    0.165365E-06    0.156033E+01   -0.601050E-15    0.651532E-16
    0.165899E-06    0.156033E+01   -0.607745E-15    0.659988E-16
    0.166435E-06    0.156033E+01   -0.614501E-15    0.668554E-16
    0.166972E-06    0.156033E+01   -0.621316E-15    0.677231E-16
    0.167512E-06    0.156033E+01   -0.628192E-15    0.686021E-16
    0.168053E-06    0.156033E+01   -0.635130E-15    0.694924E-16
    0.168595E-06    0.156033E+01   -0.642129E-15    0.703944E-16
    0.169140E-06    0.156033E+01   -0.649192E-15    0.713080E-16
    0.169686E-06    0.156033E+01   -0.656318E-15    0.722335E-16
    0.170234E-06    0.156033E+01   -0.663507E-15    0.731710E-16
    0.170784E-06    0.156033E+01   -0.670762E-15    0.741207E-16
    0.171335E-06    0.156033E+01   -0.678082E-15    0.750827E-16
    0.171889E-06    0.156033E+01   -0.685467E-15    0.760571E-16
    0.172444E-06    0.156033E+01   -0.692920E-15    0.770443E-16
    0.173001E-06    0.156033E+01   -0.700440E-15    0.780442E-16
    0.173559E-06    0.156033E+01   -0.708027E-15    0.790571E-16
    0.174120E-06    0.156033E+01   -0.715684E-15    0.800832E-16
    0.174682E-06    0.156033E+01   -0.723410E-15    0.811226E-16
